"field","react","react_keys","angular1","angular1_trackby","angular2"
"MajorGC",17.596149969100953,24.064900147914887,450.8181584383312,28.447250020503997,230.68115013837814
"MinorGC",175.88970018625258,155.94679995775223,1179.5153160095215,306.7727001667023,626.9121497869492
"Layout",1299.35560028553,1257.4748500704766,266.8956841795068,449.0243498921394,369.80780005455017
"Paint",648.8420001268387,630.2029500246048,74.47499995482595,127.24559998512268,85.17584997415543
"droppedFrameCount",590.65,579.7,738.9,582.45,622.4
"frames_per_sec",47.574351775580666,47.99407503223985,31.834703780769683,44.04274831021574,43.00061249873079
"domReadyTime",33.85,33.2,517.15,542.75,31.8
"Javascript",6909.68289989233,6894.149450230599,12096.694850885868,8449.384700310231,8558.313199412823
